,row_id,file_hash,raw_sha,count,url,mod_file,type,subtype_confidence,ask_robert,annotated,Robert reviewed,notes_free_text,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,subtype_num,original_subtype_label
10,11,720e1c556b6f8f457c8910a66b7594378e3aad2e835b9c36fcab5251ae178a42,deba2eac5d4a238c4076a5155fbc5a568f321176ffac6e2c087cb93ccf2f28af,1,https://modeldb.science/144541?tab=2&file=Ih_current/naxn.mod,"nax, : Na current for axon. No slow inact.",I Na,3 - Highly confident,n,y,,8/9: reviewed,,,,,subtype_1,I Na (Transient)
11,12,b9649c41844bcfe953ae41702b70b74e97b0ed5f296693b4d1ad806371616d80,61378102dbdfee7f5af0adfa35f08c1d20048c01e66f36d85de913157ba5c420,2,https://modeldb.science/2014814?tab=2&file=2014814/Models/4-NonsmoothOscillator/c-AlgebraicLogic/Python/brain.mod,"Using NEURON for Neuromechanical Simulations, : Description: Pedagogical model of a nonsmooth brain/body system.",Neither,3 - Highly confident,n,y,,,,,,,subtype_1,Neither - Non-Neural
12,13,1d5e23e1de9db50e45ffcf19e5cb4aa1e2f92144d52d0e540c0789bed9cd8ed5,7dfedd9df70b5374efa157ecb0cf6ba996749da999d6802933fdf72f6a06f067,2,https://modeldb.science/19920?tab=2&file=CaT/ca_a1h.mod,"CaT channel alpha-1H from McRory et al, 2001",I Ca,3 - Highly confident,n,y,,        vhalfn=-43.15   (mV,,,,,subtype_1,I Ca (T-type LT)
13,14,72737f1efe5c78d74959aaeadde16db4c0efe931fb0aef16d3ea28ef077edccf,7d9e0541cc06c439fbb74de22d8372bac4d51764ca84b98200ab264a9c6adaa1,2,https://modeldb.science/112086?tab=2&file=giuglianoEtAl2007/Ifluct1.mod,Fluctuating current,Neither,2 - Mildly confident,n,y,,8/9: Updated confidence,,,,,subtype_1,Neither - Clamp
14,15,42c2d00c6e0e6a38f863fe7046a7664c8b33bfb31392f9c5473187182222a684,2030ca115cee73d030752189aec7a2cbd91dc2f9c502a40574df3775522d2da1,3,https://modeldb.science/144376?tab=2&file=Skolnik_python_WinogradEtAl2008/ipulse3.mod,Hodgkin-Huxley model of persistent activity in PFC neurons,Neither,3 - Highly confident,n,y,,,,,,,subtype_1,Neither - Clamp
15,16,cbfbea442ae6260778f64caa855250703376ded4a121c40d2d9270ffcb654d8e,6019225fa526af2465de15925d342a3dfb9c63fc2d12ce1aded4d4447cd14026,1,https://modeldb.science/151825?tab=2&file=Demo/cad.mod,decay of internal calcium concentration,Neither,3 - Highly confident,n,y,,8/9: Updated confidence. Neither Accumulation,,,,,subtype_1,Neither - Accumulation Mechanism
16,17,d0643a1004ce6cc513029450d1e40356d5c426fcc2e6c07c5b9a85cc3268083f,ad3b5e128a640720dae4fde62124902d7c95233a61d9072b4e22d77e801f0e7a,1,https://modeldb.science/222321?tab=2&file=GentilettiEtAl2016/km.mod,km :Slowly activated voltage-dependent K current,I K,3 - Highly confident,n,y,,,,,,,subtype_1,I K (M-type)
17,18,d21365cb949fb3f9c01c652c39aa84262012e536ceb6c9d8dd6df678a3c8b168,3a8be119a84f08f064463d859c9dbc24f2bed23997ac8b3fb34521e114cc749c,1,https://modeldb.science/136095?tab=2&file=ncdemo/GABAar.mod,"Synaptic information transfer in computer models of neocortical columns, GABAar ",Receptor,3 - Highly confident,n,y,,,,,,,subtype_1,R GABA (general)
18,19,9738f942e94a08f2203f8af802ee0555fd947b961039afda87142da41a19bd51,bb4036bd6600a21d44f73fc13f11297b08cbe913691d0386528a228ec3aa493f,1,https://modeldb.science/237469?tab=2&file=scznet/approxhaynet/ProbAMPANMDA2group.mod,AMPA and NMDA receptor with presynaptic short-term plasticity ,R Multi,3 - Highly confident,n,y,,mix,,,,,subtype_1,R Glutamate (AMPA)
19,20,088704682d173048250e657a4a893ab59ebd7246a852d885e9bb25808b7a390a,c14114be51047a5ba2a4b62de1f1cc31311783b162625bae3e2aa1c2e675d869,2,https://modeldb.science/267067?tab=2&file=SprattEtAl2021/Ri%20Increase/mechanisms/na1216_mut.mod,"na3, Na current ",I Na,3 - Highly confident,n,y,,8/9: NaG -> NaS,,,,,subtype_1,I Na (Slow inactivation)
20,21,77f3519d00124c81fca248583eb983847cfd979633a213bb9314b90d55a78a60,9fe3fa598064ea1dba6f733046f918369731770ffd06f22e57be12115705919b,4,https://modeldb.science/267189?tab=2&file=Crbl_tDCS_Zhang2021/DCN/mod_files/CaHVA.mod,High voltage activated calcium current (CaHVA) of deep cerebellar nucleus (DCN) neuron,I Ca,3 - Highly confident,n,y,,updated 8/9: to HVA,,,,,subtype_1,I Ca (HVA)
21,22,e17f253a80666aad2c229db1684071089f51fd7bb628120abe19ac08f3ae3c14,d4b161b8c48e91e69ce34c6385c1de232dcf42bad616c20a0c6ece924bb0b92a,2,https://modeldb.science/17664?tab=2&file=prknj/KM.mod,                                                                                                  ,I K,3 - Highly confident,n,y,,8/9: Updated from Resistent Persistent to M-Type,,,,,subtype_1,I K (M-type)
22,23,9653ba759eea0a1d6692a30d136a2980f45e8d09f0b8d7767c08f1f9e851bdd6,df805ea1d4b226d59ffb50714852fbcb02186160013c8b97820d0d40a5acbc64,2,https://modeldb.science/2017405?tab=2&file=2017405/Interneuron_I_Na.mod,Sodium Current for Cortical Interneuron,I Na,3 - Highly confident,n,y,,8/9: NaG -> NaT,,,,,subtype_1,I Na (Transient)
23,24,fdc16c53e18ef0ba78daf28cd1b723a6be60296758de522259c570ace8a596ca,1d7f7d44476384604f7d1b5aa931914e72ce2e039d6b1375286ab7a8da961dae,1,https://modeldb.science/51022?tab=2&file=amirdevor03/fh.mod,"FH channel, : Frankenhaeuser - Huxley channels for Xenopus",I Multi,3 - Highly confident,n,y,,IC changed from other 2025-05-11,,,,,subtype_1,I Na (Transient)
24,25,43a060c1aa5a3c67df4a1e52e6a1ea2a4ee24959af86e283eb79bf76a4bd256c,96a8e9b3d584cd97a64a7404363e809c5f8152529e149a7575e6abd88f0c228d,2,https://modeldb.science/124524?tab=2&file=b07dec27/myexpsyn.mod,JitCon: Just in time connectivity for large spiking networks (Lytton et al. 2008),Neither,3 - Highly confident,n,y,,,,,,,subtype_1,Neither - Utility
25,26,9113e96b4c6079519c1ecbc66fa88e221a20465dfc94b91e6768cb12db8179ce,849721b074f03179abdaa0958500b9607a164f14bb2d7674c9abd96adb88b98a,1,https://modeldb.science/141273?tab=2&file=Vierling-ClaassenEtAl2010/cat.mod,"Calcium low threshold T type current for RD Traub, J Neurophysiol 89:909-921, 2003",I Ca,3 - Highly confident,n,y,,	minf  = 1 / ( 1 + exp( ( -v - 56 ) / 6.2 ) ),,,,,subtype_1,I Ca (T-type LT)
26,27,b75852d4a3247b68a53967bd932e27137f6f9e0e797561726fb5ad9776349ee1,3c659e7262c1148d008261e890d9e776e7317df413c0109019c8bfe8da1f174d,1,https://modeldb.science/187615?tab=2&file=pleiotropy/almog/na.mod,"Sodium channel, Hodgkin-Huxley style kinetics.  ",I Na,3 - Highly confident,n,y,,8/9: NaG -> NaT,,,,,subtype_1,I Na (Transient)
27,28,579635dcf4b27dbe29bc00422713083019413cda144530b6c9372c1bd3ee86d1,0b4ad9fb39ccdaa08df56659dc667c2f6eda4e7beb1a0dd5a68f876407db1b31,1,https://modeldb.science/258867?tab=2&file=Alpha5_NMDA_CA1_pyr/h.mod, I-h channel from Magee 1998 for distal dendrites,I H,3 - Highly confident,n,y,,,,,,,subtype_1,I H (Hyperpolarization-Activated)
28,29,0e9934372e61ee363afcb403eec3c3ecb47ff47a969c2bfb8b8ab4e0bf86686c,8443f9c65fac3596023549d3aa6ed35acbe91877196f69d1ea243ad61d02aa4f,1,https://modeldb.science/243448?tab=2&file=MandgeManchanda2018/nav1p9.mod, Nav1.9 Channel for bladder small DRG neuron soma model,I Na,3 - Highly confident,n,y,,"8/9: NaG -> NaP, 2 gates but Na v.1.9: https://www.sciencedirect.com/topics/medicine-and-dentistry/sodium-channel-nav1-9",,,,,subtype_1,I Na (Persistent)
29,30,85a402ec35e3b2c27c699e50f12a33893ba62c41824b5c17324211456b1e511d,66e75d605b7a7157ad640f9b3f18dcfda6147e0b2d83c2d6afb67b1f25ecbb86,1,https://modeldb.science/184139?tab=2&file=HyunEtAl2015/Na.mod,"Sodium channel, Hodgkin-Huxley style kinetics.  ",I Na,3 - Highly confident,n,y,,8/9: reviewed,,,,,subtype_1,I Na (Transient)
30,31,5cc03c1385abb21c08b085ee328998c3ef29fb76b3407f4f68ffe55850bb2f6b,720e123c9fb5939f5a3b81b8b25d07a63ce286d2b83bdcab55319aab27e7b283,2,https://modeldb.science/116862?tab=2&file=b09jan13/IL3.mod,"High threshold calcium current, :   Ca++ current, L type channels, responsible for calcium spikes",I Ca,3 - Highly confident,n,y,,complex,,,,,subtype_1,I Ca (L-Type HT)
31,32,6e2efeabdec6eefcf5d23be8af8e3c84e412ada2f01ecdd5cdfa1aa705fff517,cba3a5599c30d3e3ed260e7bdd7e043f8ea96eefede8e29bb14ac3a96b29beb2,1,https://modeldb.science/228599?tab=2&file=SoldadoMagranerEtAl2019/kd.mod,K-D channel,I K,2 - Mildly confident,n,y,,8/9: 1 gate.,,,,,subtype_1,I K (Delayed Rectifier)
32,33,76ee72be586da5954b8bfd45282c61a987513cdfe4ddd127a0326a94f944faa1,3dc2a97024d8861170085901e721223bd7eace2e77f36fd3bcfa5a081096ed80,1,https://modeldb.science/144490?tab=2&file=bpap/hha_old.mod,HH channel that includes both a sodium and a delayed rectifier channel ,I Multi,3 - Highly confident,n,y,,IC changed from other 2025-05-11,,,,,subtype_1,I Na (Transient)
33,34,8eb4d734fab7de07267a3049d84112f949e19679e750263055e90d5383b3ebf5,3621c69ea12e67ba930ba20a0385078b86725b3f4ed86a66252f5dbf26b96eca,1,https://modeldb.science/267508?tab=2&file=MSN(DA)2011/chan_CaT.mod,transient and low threshold calcium current (T-current),I Ca,3 - Highly confident,n,y,,	minf = 1 / (1+exp((v+51.73)/-6.53)),,,,,subtype_1,I Ca (T-type LT)
34,35,8d866f1044a2c7c7bb03b501d1e0139f2ca0e76fb0ef2cc3aaae8c0f2cabf963,9395fc5c9b6c2f0fd2022302923afabe71d57115c289aef3d9bffc3befb15843,1,https://modeldb.science/267140?tab=2&file=adaptingCA1cell/cal4.mod,"Long-Term Inactivation of Na+ Channels as a Mech of Adaptation in CA1 Pyr Cells (Upchurch et al '22), :Modified from NEURON implementation of Fink et al., 2000",I Multi,3 - Highly confident,n,y,, exclude since multiple,,,,,subtype_1,I Ca (SER)
35,36,5255e819fe3ca098687d607e4ddf4c3c5c0e415f21b1ef8f60f420ee3c9bf9af,593404d3a0f3224c883367f57a0a45ea74fd8d89163b8f1a2147084e412069d9,3,https://modeldb.science/64228?tab=2&file=Liu-Kourennyi_2004/Ca.mod,: Rod  Photoreceptor Ca and Calcium  channel,I Ca,3 - Highly confident,n,y,,,,,,,subtype_1,I Ca (General)
36,37,1eb9f62f592115967bb9d3c1e99679339273c0eafa89bda09af1dcfae7c81037,17c820718a0d8f1fd853125d7d84645b225fd3b1ec97c71b2f622cb7f0515e66,1,https://modeldb.science/187604?tab=2&file=modeldbca1/xtra.mod,"Hippocampal CA1 NN with spontaneous theta, gamma: full scale & network clamp (Bezaire et al 2016)",Neither,3 - Highly confident,n,y,,,,,,,subtype_1,Neither - Clamp
37,38,123e4283498a834dd9a539b3cf8789fd6aa4c4d4e3f754827b37753d77e1ccd9,c87f99410a0162b31dcae7e3f49bc69c6ff7640ba4ce705ed273718a34856a8c,4,https://modeldb.science/58173?tab=2&file=b05oct26/napRT03.mod,,Exclude,3 - Highly confident,n,y,,,,,,,subtype_1,Exclude - Not on Model DB
38,39,6078f6211a9342ba53246f21f3c4898f5376725207e14a136c166d88b75ad076,22f1ed3fe5752ee732f172b97e8b1c39a6dabebe5938149d4ce08e001b123102,1,https://modeldb.science/3808?tab=2&file=MyFirstNEURON/synstim.mod,"Synapse Stimulator, MyFirstNEURON (Houweling, Sejnowski 1997)",R Multi,3 - Highly confident,n,y,, exclude since multiple,,,,,subtype_1,R Glutamate (AMPA)
39,40,71b6a36d448490c85d4ff96569ed58011648ddacb9713bc2796c0f9dfacee1a0,27452ba24579ddc1a8ab6b8c1785c4816df566902c32dbebf3dad81aa68948ea,1,https://modeldb.science/241169?tab=2&file=DG-2018b-MDB/mods/LGMD_KCa.mod,KCa channels for LGMD SFA,I K,3 - Highly confident,n,y,,8/9: Updated confidence. Kca,,,,,subtype_1,"I K (Ca-activated - General - BK, IK, SK, and I AHP currents)"
40,41,71cd8b8c5229904744b2ee986f01a9c59996cfd3beb95c9d50979223a3e4c219,72b1d7b72dc21324b92a287692c15a48b3276007631a328630eb21136d7c8864,1,https://modeldb.science/244416?tab=2&file=CombeEtAl2018/na3.mod,na3 Na current ,I Na,3 - Highly confident,n,y,,8/9: NaG -> NaS,,,,,subtype_1,I Na (Slow inactivation)
41,42,7124b3e2398dead733f1eacea2ce9ae82f1bfb436453bf99468e9113a6bc650d,06b50c9983f6bc4f2e8435dab708a36893ec13f57d4317f4980c2a2c5c7d1703,3,https://modeldb.science/222716?tab=2&file=MenonEtAl2009/ih.mod,ih.mod Hyperpolarization-activated channel; mixed cation current; Hodgkin-Huxley style kinetics.  ,I H,3 - Highly confident,n,y,,,,,,,subtype_1,I H (Hyperpolarization-Activated)
42,43,c647f9f68f95bfc7f970b90c08f5d4b20a046ca5acfd9b047d45666f2a67bfd3,9932e9ed633b8e77936c3e60a1f97984f756edd1d993016f0005b4ddae1930e2,5,https://modeldb.science/168414?tab=2&file=ZhangEtAl2014/Critical%20Mod%20Files/iCaL.mod,high threshold calcium current (L-current),I Ca,3 - Highly confident,n,y,,	m_inf = 1/(1+exp((v+10)/-10)),,,,,subtype_1,I Ca (L-Type HT)
43,44,d4200b521dc82dd849f5881674ffc63826f005cec74abde8769459bc359a7b2c,ccfafb71b5da6a82cb3de41800bc2221916bf9931d5b915e6d21d0ead5b0153a,1,https://modeldb.science/21329?tab=2&file=inhibnet/nethhwbm.mod,"nethhwbm.mod   interneuron sodium, potassium, and leak channels",I Multi,3 - Highly confident,n,y,,"update 8/9: Was misclassified type, exclude since multiple currents",,,,,subtype_1,
44,45,a6c525655c1281dcd9788c46e215de0ffb4462d4128a72aab43b46d133ff7e05,e436501f971aace8f2506560c4d4b3bdfbbfcd20cdcaa9d1c5a0c0e139354cf8,2,https://modeldb.science/267669?tab=2&file=STN-GPe/Kv4s.mod,slow A-type potassium Kv4 channel for GPe neuron,I K,3 - Highly confident,n,y,,,,,,,subtype_1,I K (A-Type Slow)
45,46,fc85f3a96a3f17341bbc7bc39bb2934e22ec8714e8124f56618a530db369a362,8f58ec54233ffc0e9dfbd91991dfdea50f30c79b4ef5961a129bea69dd447342,1,https://modeldb.science/266498?tab=2&file=PelotEtAl_JNP_2020_Models/MultiCompartmentModels/Mod/naf97.mod,"Naf is the fast, TTX-sensitive current in Schild 1994",I Na,3 - Highly confident,n,y,,8/9: NaP -> NaT,,,,,subtype_1,I Na (Transient)
46,47,e305d8d09c4304604697436072876d1e6188369e1b672fab4a2dd0da280467b0,4793e433f250d7ebf26c797ebffabce012561bb19ace8d2a6a28ddd00fa32c61,9,https://modeldb.science/65218?tab=2&file=nrntraub/mod/napf.mod,,Exclude,3 - Highly confident,n,y,,,,,,,subtype_1,Exclude - Not on Model DB
47,48,c2d9fa2d4db3460b3e4ba8bf84f7ce270e7b76d4701111bd134e50e2a5f3a899,b895021da07b2ec1500dd41e2e55f18833e5e691974a2964ffee984b4d56cc4f,2,https://modeldb.science/153574?tab=2&file=olfactory-bulb-gilra-bhalla/channels/neuron_channels/naxn.mod,nax Na current for axon. No slow inact.,I Na,2 - Mildly confident,n,y,,assume transient NA,,,,,subtype_1,I Na (Transient)
48,49,76ef7f5d35d2c6ca2edeeb415fbc4bed1cbc0f5f3427652a5a43e3313351c58c,6a8122a26a60fb26a80dbbbf22ed658111dab9714f3ac2ba0089cdf6b810ec88,3,https://modeldb.science/225080?tab=2&file=GrienbergerEtAl2017/ampa_kin.mod,GluA-R (AMPA-type Glutamate Receptors),Receptor,3 - Highly confident,n,y,,,,,,,subtype_1,R Glutamate (AMPA)
49,50,9bd6920e648b7098c63105ea47b1bb46b7396b59191b15d4af6492378a850f08,3bd115893a13eebba15d55ea4c2407e36664bf465b9bb889886da44e5b9ebe65,7,https://modeldb.science/38241?tab=2&file=CA1_multi/mechanism/not-currently-used/it1.mod,,Exclude,3 - Highly confident,n,y,,,,,,,subtype_1,Exclude - Not on Model DB
50,51,551d6e9848e5af830dbc4a7e434b995b12344cdfa7965e05ecc80b9c296a87b1,7fc6c3a76dd0d9f2e1cfd04d65e26d5b82b1826dd995fd64e4e56eb45bf9cfd5,1,https://modeldb.science/256140?tab=2&file=LuqueEtAl2019/NEURON/Purk_lkg.mod,"Purkinje simplified Cell model, Leaky current",I K,3 - Highly confident,n,y,,leak,,,,,subtype_1,I K (Leak)
51,52,dfcc7d5703dd65ab0c8c032b7fd6d521de3ba522a33c07e0994f9f5e366703dd,4eccd1d5e79021c78a2c07fc6789f44b256e28b5a21697475b7aa09c0b87468e,2,https://modeldb.science/114355?tab=2&file=v8sources/mechanisms/backup/G_kaprox.mod,K-A channel from Klee Ficker and Heinemann,I K,3 - Highly confident,n,y,,2025-05-24: IC Updated to A-type transient,,,,,subtype_1,I K (A-Type Transient)
52,53,47e30bc366e55770304d60bbd90efb6a577127d6c129210aa77bc88ee63b3859,1a86e9dd07c610b938974b070b358820e7bb5fe7e7055b71d7844368ef550452,1,https://modeldb.science/139657?tab=2&file=Kopp-Scheinpflug2011/mhh_Gfluct.mod,Fluctuating conductances,I Other,1 - Not confident at all,y,y,,"8/9: I N is not NONSPECIFIC, not sure what to do here",,,,,subtype_1,I (Nonspecific)
53,54,cee9305a66c4b51b8e32a1018a9bb418b62107074314cae9ee1fc4c9b82a6144,5c24d98f635b596fc412a4adfea5c8d9ffed41c8c45530526959a862ad29c838,2,https://modeldb.science/123927?tab=2&file=Wimmer-et-al2009/kleck.mod,K-leakage current,I K,3 - Highly confident,n,y,,,,,,,subtype_1,I K (Leak)
54,55,e34df27c53a78f86f05d05868a51221ff3da287f60a73d850a4506b3fefa9ec9,bfb3472d9c6b26b3e244a542bfcf3c355dd384232bfb180a83dbcf4f8b73b09d,7,https://modeldb.science/267511?tab=2&file=S1_Thal_NetPyNE_Frontiers_2022/sim/mod/kapin.mod,K-A channel from Klee Ficker and Heinemann,I K,3 - Highly confident,n,y,y,2025-05-24: IC Updated to A-type transient,,,,,subtype_1,I K (A-Type Transient)
55,56,cdb6fd0d362606f1ff44e60b0ad884edb4b65fb056b7495d8334147911607892,fc0141194eec6a1c36627579ca328dedf5a0e18392f57ec47e8c10d850bcec63,4,https://modeldb.science/257028?tab=2&file=ZhangSantaniello2019/CCTC_model_scaleup/modfiles/pc_Narsg.mod,resurgent sodium channel,I Na,3 - Highly confident,n,y,,8/9: Updated Confidence,,,,,subtype_1,I Na (Resurgent)
56,57,bba6529126b4fcb09e495c2b5b47ae79e0e4275e143bd49ceb9d76a3095b30ef,b2566141171bc8da887c922f43b4179c694bb36848bd8d108e882a6c4702f304,1,https://modeldb.science/87473?tab=2&file=weaver_SimAnn_ObjFcn/optmz/feature_weaver.mod,AP shape and parameter constraints in optimization of compartment models (Weaver and Wearne 2006),Neither,3 - Highly confident,n,y,,suffix nothing,,,,,subtype_1,Neither - Utility
57,58,b408003421870590bb819f81765f2bd5b9f2f90102b5f3769ba22d9da5f755a2,c113ee36f21297a1a9593448b4543849164f401e859dc70e7cccfad3cf3c9626,1,https://modeldb.science/138382?tab=2&file=AnwarEtAl2010/CaT3_1_DP.mod,Low threshold calcium current Cerebellum Purkinje Cell Model,I Ca,3 - Highly confident,n,y,,	v0_m_inf = -52 (mV),,,,,subtype_1,I Ca (T-type LT)
58,59,71fb724fa0707f1655dc085cf01d89843ebebb05b89f044f383206d87e80c8d4,3d53f4b40b40f78f01c971dbb82d0bd62ed71ba516569a08fb602b7d276810db,1,https://modeldb.science/222321?tab=2&file=GentilettiEtAl2016/ikdrd.mod,ikdrd :Delayed rectifier potassium current in the interneuron dendrites,I K,3 - Highly confident,n,y,,,,,,,subtype_1,I K (Delayed Rectifier)
59,60,33acf1ee7fa3e15144482850a6d017266e2ce9ade889ad979f35ca03de6dfffb,2a67c572dba468f52a2120c0e5de73afa64509b264b6df714d37586b4aa5630b,44,https://modeldb.science/266864?tab=2&file=purkinje_pf_source_code/mod/BK_Slow.mod,Ca-dependent K channels (BK) - alphabeta4 and alpha,I K,3 - Highly confident,n,y,,,,,,,subtype_1,I K (Ca-activated Bk)
60,61,60bcdf1d2a41391aad4d44056da0b0463104aaedf255da92480474712a3a709d,35c92b432aa781c1d1445947ee6d0a5b9d9fd5fc7954166d7283fd2d93d7245d,1,https://modeldb.science/267293?tab=2&file=modulhcn/modulhcn_almog/Ca_HVA_hay.mod,"Simulations of modulation of HCN channels in L5PCs (Mäki-Marttunen and Mäki-Marttunen, 2022)",I Other,3 - Highly confident,n,y,,,,,,,subtype_1,I Other (CNG)
61,62,cfe772a9c9d740da1a08820b4e2f11f4d4f9bd1204ccfc52bb08823936ea0356,2136e5f5eaea2667fb38e4bfbe4738764ce7f4a9b531af80f2c1d06d868023ca,1,https://modeldb.science/147218?tab=2&file=genet_PC/stellat_phasic.mod,: phasic synaptic current of stellate cells,I Other,1 - Not confident at all,y,y,,"8/9: I N is not NONSPECIFIC, not sure what to do here",,,,,subtype_1,I (Nonspecific)
62,63,8b3499b32e6f0869e008de7d811342f96c341c5125175dc529d0ea927c10d291,375ac87d7bee099c191393648f88947a2271d23c9d5aeef623dfdd7c74e9c158,1,https://modeldb.science/266498?tab=2&file=PelotEtAl_JNP_2020_Models/MultiCompartmentModels/Mod/na_ion_dynamics.mod,na ion dynamics,Neither,3 - Highly confident,n,y,,read and writes to Na,,,,,subtype_1,Neither - Accumulation Mechanism
63,64,97da8dde574cd55b492fe5f59e0e7d7cf6e1aba6173750d40a9d2fc7aad3b705,fb831289d6cb5df4e87638121a4bc96d1d1ec4c05816619c8444fa32bd612757,1,https://modeldb.science/74298?tab=2&file=sth-model/Cacum.mod,calcium accumulation for STh,Neither,3 - Highly confident,n,y,,,,,,,subtype_1,Neither - Accumulation Mechanism
64,65,12df765efdd5572db211cd001fcab787f130344d381533ca43422076284d5867,a857bc02cbe866d9332fb9f967e2d5d73db0c37411a17176e04ef3bb5b3c707a,1,https://modeldb.science/239878?tab=2&file=Biophysical_thalamocortical_system/cortex_neurons/hh2.mod,Hippocampal HH channels,I Multi,3 - Highly confident,n,y,,IC changed from other 2025-05-11,,,,,subtype_1,I Na (Transient)
65,66,7be79fd0bd411fd3d6fdb123ecf976dbe22ea1f035e0c9a54d64f81c5044e6b7,64f93e51d51a83c38f3d34e5af5864c462d2257b56e0ea189c46a6d47c25efb7,1,https://modeldb.science/2014832?tab=2&file=model/mod/IM_cortex.mod,Cortical M current,I K,3 - Highly confident,n,y,,,,,,,subtype_1,I K (M-type)
